query,tfidf_mean_top5,bm25_mean_top5,hybrid_no_optimizer_mean_top5,hybrid_with_optimizer_mean_top5
machine learning,0.20172940435013706,13.397981367349463,0.703895903458599,0.8519438021328714
intruder detection,0.06625479159232532,9.776865373076376,0.6406241856685597,0.6260620936354829
poverty dynamics,0.31525325359548473,11.327111267922687,0.6316804275131933,0.6424273120458112
plant disease detection,0.17583965148709546,17.655517461223802,0.774417047027242,0.8373325726105808
malaria,0.3715770732491506,11.196634846780025,0.7175151666902664,0.9449046420960137
overall_mean,0.22613083485483862,12.67082206327047,0.693626546071572,0.7805340845041518
